t,mag,magerr
52650.434545,15.969,0.035
52650.44845,16.036,0.039
52650.46242,15.99,0.035
52650.476485,16.027,0.035
52650.490443,15.675,0.03
52666.464263,15.945,0.037
52666.478719,15.97,0.035
52666.493183,16.001,0.035
52666.50771,15.829,0.031
52666.522176,15.586,0.026
52680.491924,15.586,0.028
52680.506645,15.701,0.031
52680.52136,15.761,0.031
52680.536053,15.879,0.041
52697.40162,15.917,0.068
52697.446816,16.036,0.087
52706.369619,16.024,0.035
52706.382492,15.901,0.033
52706.395445,15.768,0.026
52706.408684,15.679,0.026
52706.421824,15.779,0.028
52708.372142,15.874,0.038
52708.372257,15.886,0.036
52708.38526,15.951,0.041
52708.385375,15.991,0.041
52708.39827,15.969,0.041
52708.398385,16.01,0.041
52708.411459,15.985,0.043
52708.411574,16.035,0.043
52708.424498,15.967,0.043
52708.424613,15.998,0.041
52712.318286,15.671,0.043
52712.344226,15.796,0.043
52712.357133,15.892,0.046
52712.370229,15.948,0.044
52724.364441,15.786,0.03
52724.376739,15.807,0.033
52724.389038,15.917,0.035
52724.389639,15.764,0.045
52724.401635,15.996,0.038
52724.402237,15.792,0.049
52724.413874,16.033,0.04
52753.264881,15.885,0.036
52753.278023,15.687,0.031
52753.278135,15.947,0.084
52753.290448,15.814,0.035
52753.30448,15.915,0.038
52753.317076,15.986,0.04
52755.255212,15.882,0.04
52755.268071,15.979,0.041
52755.28027,15.998,0.045
52755.292432,15.989,0.041
52755.304375,15.768,0.038
52756.251487,16.008,0.035
52756.263435,15.971,0.033
52756.27537,15.72,0.028
52756.287313,15.601,0.024
52756.299348,15.712,0.028
52770.216147,16.169,0.071
52770.227832,16.14,0.069
52770.239453,16.034,0.061
52770.250916,15.842,0.049
52770.262761,15.73,0.045
52792.181762,15.924,0.048
52793.198153,15.873,0.046
52793.21815,16.018,0.041
52793.218356,15.924,0.048
52793.228164,16.04,0.043
52793.238135,16.031,0.043
52797.219308,15.958,0.054
52797.22933,15.86,0.052
52797.239303,15.633,0.043
52797.259232,15.713,0.046
52811.219599,15.669,0.031
52811.229361,15.674,0.033
52811.23923,15.837,0.035
52811.24899,15.892,0.037
52811.258779,15.912,0.041
52825.185901,15.916,0.061
52825.19592,15.724,0.048
52825.206158,15.681,0.043
53034.399473,15.651,0.031
53034.411302,15.573,0.031
53034.423154,15.726,0.033
53034.435103,15.722,0.036
53034.447106,15.905,0.036
53051.391119,15.568,0.02
53051.402719,15.66,0.022
53051.414478,15.767,0.026
53051.426082,15.879,0.028
53051.437723,15.868,0.028
53065.340524,15.951,0.035
53065.352071,15.815,0.031
53065.363393,15.616,0.026
53065.374785,15.596,0.028
53065.386183,15.763,0.026
53078.405154,15.795,0.054
53078.415835,15.945,0.041
53093.327107,15.643,0.018
53093.337484,15.741,0.02
53093.347911,15.822,0.02
53093.35829,15.855,0.02
53093.368834,15.895,0.02
53109.301583,16.033,0.038
53109.311722,16.031,0.036
53109.321934,15.873,0.031
53109.332097,15.7,0.028
53109.342144,15.803,0.03
53111.299062,15.911,0.035
53111.309668,15.967,0.036
53111.321073,16.01,0.036
53112.303738,16.043,0.061
53112.314571,16.106,0.043
53112.32519,15.942,0.035
53112.335917,15.8,0.058
53113.332882,15.757,0.038
53113.33328,15.823,0.039
53113.343911,15.898,0.049
53113.345004,15.948,0.063
53122.247834,15.754,0.025
53122.258173,15.899,0.028
53122.268394,15.937,0.03
53122.278687,15.972,0.031
53123.353939,15.972,0.031
53123.364396,16.024,0.031
53123.374718,16.041,0.03
53123.385077,16.061,0.03
53123.395431,16.047,0.033
53124.328457,16.061,0.063
53124.338113,16.085,0.065
53124.34738,16.072,0.063
53124.356635,16.062,0.059
53125.289994,15.94,0.065
53125.299935,16.034,0.067
53125.309884,16.03,0.07
53125.329822,15.984,0.067
53126.28551,16.022,0.068
53126.295352,15.971,0.064
53126.314894,15.584,0.045
53126.32463,15.601,0.046
53127.271047,16.115,0.089
53127.281077,15.782,0.065
53137.254175,16.05,0.041
53137.264244,16.06,0.038
53137.274148,15.825,0.031
53137.28396,15.683,0.03
53137.293674,15.683,0.03
53153.211663,15.761,0.033
53153.220946,15.783,0.033
53153.230428,15.911,0.036
53153.239426,15.968,0.038
53153.248003,16.02,0.041
53165.236028,15.735,0.033
53165.245834,15.802,0.045
53165.258355,15.867,0.038
53165.268163,15.946,0.04
53165.278253,15.948,0.043
53178.218988,16.12,0.043
53178.228425,16.023,0.056
53501.256254,16.004,0.043
53501.270486,15.972,0.041
53501.28171,15.856,0.039
53501.293854,15.692,0.031
53501.304039,15.583,0.03
53529.212596,15.962,0.046
53529.224336,16.032,0.048
53529.235729,15.884,0.044
53529.247101,15.694,0.037
53529.257995,15.657,0.037
53540.228904,15.76,0.08
53540.238497,15.819,0.081
53540.257881,15.911,0.1
53550.180836,16.002,0.043
53550.200612,15.918,0.043
53550.210517,15.687,0.035
53739.482598,15.964,0.039
53739.495986,16.008,0.037
53739.508906,16.007,0.035
53739.521882,15.885,0.031
53739.53501,15.586,0.024
53770.42381,15.854,0.033
53770.438102,15.962,0.043
53770.455277,15.982,0.037
53770.469606,15.959,0.035
53770.482518,15.829,0.031
53787.428072,16.046,0.041
53787.440882,16.022,0.038
53787.453852,16.058,0.041
53787.466863,15.926,0.035
53813.411188,15.724,0.052
53813.422215,15.894,0.063
53813.433356,15.93,0.065
53813.444371,15.99,0.072
53813.455408,15.872,0.067
53823.381912,15.681,0.028
53823.394656,15.67,0.031
53823.408453,15.836,0.039
53823.423709,15.853,0.043
53823.438703,15.992,0.048
53824.360034,15.668,0.028
53824.372332,15.75,0.044
53824.373075,15.763,0.045
53824.383321,15.872,0.057
53824.384784,15.928,0.056
53824.396047,15.955,0.046
53824.396618,15.961,0.045
53824.408634,16.007,0.036
53844.294879,15.964,0.043
53844.305869,16.024,0.048
53844.31681,16.075,0.051
53844.32772,16.006,0.051
53844.338736,15.866,0.045
53853.291342,15.893,0.041
53853.302148,15.962,0.045
53853.312572,16.007,0.045
53853.323086,15.983,0.046
53853.333501,16.129,0.051
53883.218407,16.021,0.054
53883.239024,16.126,0.058
53883.259639,15.915,0.048
53887.229182,15.964,0.059
53887.239835,15.741,0.048
53887.250529,15.593,0.041
53887.261225,15.723,0.046
53887.271938,15.771,0.048
53902.236645,15.962,0.051
53902.246988,15.973,0.053
53902.257438,16.07,0.061
53902.268649,16.064,0.066
53915.17888,16.148,0.068
53915.188744,15.893,0.053
53915.200141,15.699,0.046
53931.169681,16.014,0.068
53931.190552,15.947,0.074
53931.211364,15.718,0.067
53940.162622,15.845,0.054
53940.173195,15.912,0.059
53940.20857,16.11,0.101
54098.430944,15.867,0.039
54098.442947,15.92,0.041
54098.458128,16.016,0.044
54098.471498,16.002,0.043
54098.483711,15.88,0.037
54110.45668,15.89,0.079
54110.469549,15.98,0.087
54110.482217,15.947,0.106
54121.39636,15.612,0.03
54121.408563,15.701,0.031
54121.420755,15.834,0.037
54121.432951,15.883,0.039
54121.445137,15.928,0.039
54154.389924,15.855,0.035
54154.401459,15.754,0.03
54154.412939,15.684,0.031
54154.424491,15.84,0.035
54154.435975,15.95,0.038
54169.343192,15.825,0.048
54169.375914,15.933,0.058
54205.273311,15.917,0.04
54205.282575,15.966,0.04
54205.292413,16.004,0.041
54205.302143,16.064,0.046
54205.311423,16.053,0.046
54560.300119,15.969,0.022
54560.311536,15.927,0.022
54560.322936,15.804,0.02
54560.345838,15.615,0.017
54581.252795,16.056,0.061
54581.272254,16.14,0.083
54581.282033,16.009,0.066
54594.253937,16.058,0.073
54594.263461,16.139,0.076
54594.272887,16.199,0.084
54594.283341,16.132,0.078
54594.292763,16.058,0.074
54612.246845,15.964,0.051
54612.255389,15.912,0.048
54612.264585,15.75,0.04
54612.27321,15.779,0.043
54612.28191,15.768,0.041
